Prenom;Deuxieme Prenom;Nom;Date Naissance;Nationalite;Lieu Naissance;Email;Langue;Genre;Telephone;Code Volontaire;Type Piece Identite;No Piece Identite;Date Delivrance;Date Expiration;Autorite Delivrante;Adresse;Ville;Code Postal;Pays;Contact Urgence Nom;Lien Contact;Telephone Contact;Permis Conduire;Ville Preferee;Secteur Activite 1;Secteur Activite 2
Jean;André;Faye;1997-08-20;Sénégalaise;Ziguinchor;jean.faye659@yahoo.fr;Italien;Homme;+221 762768974;VOL00001;CIN;AFM5T9F8Q;2016-04-09;2026-04-07;Gendarmerie Nationale;631 Rue 158;Kolda;52923;Sénégal;Alioune;Frère;+221 775464167;Non;Diamniadio;Ressources Humaines;Hébergement
Ibrahima;Samba;Toure;2007-02-04;cap verdienne;Kaolack;ibrahima.toure386@yahoo.fr;Arabe;Homme;+221 712978085;VOL00002;CIN;V17APS1AX;2023-03-20;2033-03-17;Ministère de l'Intérieur;765 Rue 15;Mbour;51085;Sénégal;Yacine;Conjoint;+221 728320021;Oui;Saly;Marketing;Village Olympique de la Jeunesse
Paul;Antoine;Dasylva;2003-03-27;togolaise;Thiès;paul.dasylva489@outlook.com;Espagnol;Homme;+221 772104119;VOL00003;CIN;MBRNQRWRS;2022-07-24;2032-07-21;Préfecture;821 Rue 96;Tambacounda;78089;Sénégal;Ibrahima;Mère;+221 718117910;Oui;Saly;Arrivées & Départs;Protocole
Pierre;Ibrahima;Ndiaye;1992-04-20;Gambienne;Dakar;pierre.ndiaye882@outlook.com;Portugais;Homme;+221 708367591;VOL00004;Passeport;PXQOLI4VB;2018-12-28;2028-12-25;Gendarmerie Nationale;46 Rue 141;Saint-Louis;41951;Sénégal;Paul;Conjoint;+221 777474699;Non;Saly;Village Olympique de la Jeunesse;Services aux Comités Nationaux
Tidiane;Ousmane;Keita;1996-06-07;burkinabaise;Kaolack;tidiane.keita875@gmail.com;Wolof;Homme;+221 795551893;VOL00005;Passeport;WOO5LNZG0;2016-08-26;2026-08-24;Gendarmerie Nationale;447 Rue 16;Mbour;33431;Sénégal;Pierre;Conjoint;+221 719614264;Oui;Diamniadio;Technologie;Marketing
Lamine;Boubacar;Tall;2006-09-04;cap verdienne;Kaolack;lamine.tall738@outlook.com;Italien;Homme;+221 752143908;VOL00006;Passeport;KZ84WR6KK;2020-11-15;2030-11-13;Gendarmerie Nationale;747 Rue 107;Saint-Louis;86462;Sénégal;Mariama;Conjoint;+221 797243778;Non;Diamniadio;Billeterie;Ressources Humaines
Mamadou;Cheikh;Toure;1997-05-06;Française;Dakar;mamadou.toure994@gmail.com;Arabe;Homme;+221 746052996;VOL00007;Passeport;72JDMCAFK;2018-12-13;2028-12-10;Ministère de l'Intérieur;350 Rue 20;Dakar;72370;Sénégal;Monique;Mère;+221 731214242;Non;Saly;Services Médicaux;Ressources Humaines
Paul;Paul;Diagne;2000-11-02;mauritanienne;Thiès;paul.diagne710@outlook.com;Anglais;Homme;+221 708781797;VOL00008;CIN;FUWUOCRUU;2022-06-07;2032-06-04;Gendarmerie Nationale;504 Rue 129;Fatick;49047;Sénégal;Astou;Frère;+221 706612240;Non;Diamniadio;Sport;Services Liguinstiques
Amadou;Michel;Diop;2004-07-07;béninoise;Dakar;amadou.diop987@yahoo.fr;Italien;Homme;+221 796069339;VOL00009;CIN;0BH8H4LU7;2022-10-31;2032-10-28;Ministère de l'Intérieur;309 Rue 109;Fatick;79203;Sénégal;Khady;Tante;+221 772725284;Oui;Dakar;Village Olympique de la Jeunesse;Hébergement
André;Michel;Conteh;2000-12-18;mauritanienne;Dakar;andré.conteh673@outlook.com;Espagnol;Homme;+221 789748454;VOL00010;Passeport;793E95RT4;2021-04-15;2031-04-13;Préfecture;667 Rue 3;Dakar;53790;Sénégal;Elisabeth;Tante;+221 723230423;Non;Dakar;Services aux Comités Nationaux;Transport
